Address,Vote,TotalYOU,youInWallet,youInStakingPool,youInQuipuswapPool,youInPlentyPool
tz1YWAhTgqbBfB3m55ykmix3KFqn4BWHPnab,1,27565963585274929,431617998845,27036558832286295,0,528973134989789
tz1YrmdFnmRS5McKQyFsXRrTSS849k9CPdXL,1,3322567501859940,4128655514,3322563373204426,0,0
tz2Ly65L5PV3e5NEGTPEJoaKpyzh7shQXVZu,1,5659089750838,89750838,5659000000000,0,0
tz1V8pB45h9CU7PhtnP5gKN8vAMCPHAp5zJn,1,750640356579786,9686909052,750630669670734,0,0
tz1ZeRsv3qTfoKAzfaJLSGtqXpnJeUTM8BHg,1,2357516353136007,66466388743,2357449886747264,0,0
tz1Ziaxoio55wxE9UWpXnaMgRtSN3VBhgGTX,1,1064703662598191,0,0,0,1064703662598191
tz1TzqieSzSJyHv76nRTMWN5kqmzPKfBh5db,1,350144264051272,0,959200000000,0,349185064051272
tz1XEJFTcKBmQrQHgAEsQ4UUWfk1FMnG5SeA,0,3938104715240,3938104715240,0,0,0
tz2H21wDMLHDJ4jcJwPr8cmhFatSv276Jama,0,40992806722859,7338806722859,33654000000000,0,0
tz1ZGUYz3rRnes24Jzib8SQCggejP49RWB6h,1,3013819162212084,12950454321563,3000868707890521,0,0
tz1dkkfj76D6KkhqwZbDcBy2hRvNc45TEaVM,1,390251408362594,5134584,0,316636250974617,73615152253393
tz1aaGzD9tTGb3xX1oF7cYN4UWU2YXuw5WvG,1,0,0,0,0,0
tz1SHyGgXii5Wgxu4s8na6gUoGn2AeQgHiJW,1,17181316695630,3,0,0,17181316695627
tz1PwxV2kaHhubkYaRWTnGBvsxXswz7V9GWc,1,2310196519669,51693079478,2258503440191,0,0
tz1MfaUEsXAd6fByH1qrHEk3iWPMWT7LjsaD,1,420389546567,420389546567,0,0,0
tz1dhY5ETip5rUcz63ZP3LKkHdXWz5ZRNhtd,1,551609018775,551609018775,0,0,0
tz1VJcMyAVTAWjgHv29zpePmB1ZvhDSNMD8A,1,50000001042455,50000001042455,0,0,0
tz1PjYFg8hWoPUyyVrKKNtY6bdNViiaD1V4q,1,0,0,0,0,0
tz1Wm7w4Ep975a4RUvLTt5jZpnCogfmmRHJq,1,0,0,0,0,0
tz1RAKBnmd1X43pkkGqywYCRgf1Uo6D77zMx,1,4112991178527,3,0,0,4112991178524
tz1Xy5UM1tC3CFcbPBVq5PjufaxcLjMwfQkE,1,11593343719582,3,0,0,11593343719579
tz2XFQiQGgWcQ9yGfBnzmFA6h3QC9PxozCmW,1,665215953473417,38179179,665215915294238,0,0
tz1ZdxVTHNJX21momqwxzKg4ehVCv84pKXrx,1,6910767733887,1044946112299,0,0,5865821621588
tz1LjsZbuoeKEqM7ua9r5h5qwBXZD5ahjuaQ,1,3452000760757656,2997213403725520,0,0,454787357032136
tz1eC31VmLBGkt7jZvBwCdc3EaqayBkwugD8,1,1598553990002565,70828347,1598553919174218,0,0
tz1cjTb6ijvnPrJBfaTEFphxDovW9xQbkmDK,1,105409352095412,100133740672,0,0,105309218354740
tz1WxCJ3UpzyWsXmmkE1YjYzbBv6jXYkbFYV,1,0,0,0,0,0
tz1L8hBVpams2fWFC9kS1sPVxfGY6Hmg5TQ8,1,218004819498879,327082840874,217677736658005,0,0
tz1MdSsDBG8k8q1pxZrdpSC2Aw49ukFs8ACy,1,10140467830063367,118330063367,10140349500000000,0,0
tz1eAtodiuCkhep5Xv6BYDn9wJ3MeK4ELojT,1,11074496498579,96498579,11074400000000,0,0
tz1UqFtNwT4jZVbJijJqBkRZprcHaEmMsnu7,1,321346784748,321346784748,0,0,0
tz1aCGsujupLsLWEiakxuM36JcbSdxkis7a8,1,8303083805970991,7697405869228,8295386400101763,0,0
tz1WH8q1pXgfrRZQFHu8943JuQyTXQgBWb5G,1,22501090470886449,470886449,22501090000000000,0,0
tz1ghDu2tnw9XveuAx9zJKxn2DBtefgVD93y,1,79022642182385,1997638419,0,0,79020644543966
tz1UugYWMYaH4SqyNZToo4gY43iCYYEkbxnu,1,377605489223124,89223124,377605400000000,0,0
tz1MmDX549QtifqbizRUKSXhtEiKCF1cJHPF,1,5537246680180582,27985254,5537246652195328,0,0
tz1QVppswLAsh7otegWzTtedUjXo9ewGznjb,1,0,0,0,0,0
tz1Mj7RzPmMAqDUNFBn5t5VbXmWW4cSUAdtT,1,108818201920,149585,108818052335,0,0
